order_id,customer_id,order_date,promised_delivery_time,actual_delivery_time,delivery_status,order_total,payment_method,delivery_partner_id,store_id,product_id,quantity,unit_price
60465,15808945,2024-10-23,2024-10-23 5:34:29,2024-10-23 05:39:29,on time,589.47,upi,58998,3943,361361,2,826.21
2237858,48281892,2023-04-02,2023-04-02 4:00:11,2023-04-02 04:03:11,on time,3835.26,wallet,97945,1987,585299,1,799.46
3101265,89617089,2024-05-23,2024-05-23 3:37:47,2024-05-23 03:40:47,on time,3567.73,upi,20246,974,300159,1,44.35
5120698,44174426,2023-06-09,2023-06-09 12:25:20,2023-06-09 12:40:20,slightly delayed,3064.36,wallet,48582,3184,187399,1,53.49
5512907,51476157,2023-04-30,2023-04-30 21:11:21,2023-04-30 21:26:21,slightly delayed,861.53,wallet,44545,419,659290,3,319.34
7550508,93127511,2023-10-20,2023-10-20 11:07:27,2023-10-20 11:06:27,on time,1067.68,card,38073,70,140154,2,171.2
8701796,14479168,2024-08-19,2024-08-19 19:14:44,2024-08-19 19:23:44,slightly delayed,215.65,cash,41266,1925,672059,2,672.73
9408428,31456752,2023-08-30,2023-08-30 13:54:14,2023-08-30 13:50:14,on time,1911.86,upi,76392,9889,124290,1,39.65
10161194,63238941,2023-12-24,2023-12-24 23:28:35,2023-12-24 23:31:35,on time,3827.54,card,58293,6592,382511,1,702.54
10448052,90021871,2023-08-05,2023-08-05 10:21:05,2023-08-05 10:26:05,on time,1228.86,upi,47308,1064,945635,2,778.9
11467999,78267238,2023-04-23,2023-04-23 18:57:26,2023-04-23 19:11:26,slightly delayed,3051.19,upi,1908,5146,747801,3,277.76
14103943,9105829,2023-11-24,2023-11-24 9:07:35,2023-11-24 09:18:35,slightly delayed,1538.3,cash,25400,6791,228286,1,179.08
15642223,85020453,2023-11-06,2023-11-06 21:24:23,2023-11-06 21:27:23,on time,1712.74,cash,43306,864,937542,3,97.04
16878685,37556526,2024-04-09,2024-04-09 2:44:02,2024-04-09 02:47:02,on time,4267.94,cash,52442,9683,432617,2,863.18
22830983,92404798,2023-06-04,2023-06-04 21:26:12,2023-06-04 21:44:12,significantly delayed,3061.39,upi,39491,2086,890232,3,432.0
23158044,31681710,2023-05-19,2023-05-19 19:41:28,2023-05-19 19:41:28,on time,2726.7,upi,66644,919,669378,1,212.14
27296314,64562786,2024-10-17,2024-10-17 16:24:30,2024-10-17 16:46:30,significantly delayed,3866.08,upi,97704,3986,313754,2,136.6
32604190,51503088,2023-12-08,2023-12-08 9:19:03,2023-12-08 09:16:03,on time,1169.84,wallet,60196,7220,812607,3,416.65
32613017,82594354,2023-03-17,2023-03-17 0:36:41,2023-03-17 00:36:41,on time,2354.28,card,77303,3364,451812,1,530.85
35135941,28205701,2024-07-29,2024-07-29 18:26:33,2024-07-29 18:21:33,on time,1216.16,upi,64624,229,306177,1,769.24
38408517,39674723,2023-11-26,2023-11-26 8:58:03,2023-11-26 09:20:03,significantly delayed,88.43,cash,84919,5135,378287,2,332.84
39405769,24621386,2023-04-07,2023-04-07 12:56:40,2023-04-07 13:11:40,slightly delayed,941.25,card,6878,9711,880510,2,951.43
39791095,625395,2024-04-06,2024-04-06 11:17:05,2024-04-06 11:22:05,on time,480.85,card,41559,9008,700048,3,141.28
42332130,70363568,2024-10-17,2024-10-17 17:18:04,2024-10-17 17:15:04,on time,1441.07,wallet,54725,9022,365133,1,915.45
47467466,55693909,2023-09-05,2023-09-05 17:04:11,2023-09-05 17:02:11,on time,102.44,wallet,60202,2532,120385,1,597.91
47953423,96806748,2024-02-27,2024-02-27 0:28:46,2024-02-27 00:32:46,on time,2094.28,upi,90878,6448,585299,1,799.46
50845914,54893418,2023-04-09,2023-04-09 4:37:56,2023-04-09 04:34:56,on time,3226.44,card,95031,4686,478531,3,825.46
52324496,81605722,2024-02-23,2024-02-23 17:47:54,2024-02-23 17:52:54,on time,560.54,card,54293,4009,888807,2,230.58
56705032,63060947,2023-11-16,2023-11-16 4:40:25,2023-11-16 04:54:25,slightly delayed,3069.98,upi,77287,8706,692985,2,197.39
59461109,67708491,2023-05-06,2023-05-06 13:55:41,2023-05-06 13:55:41,on time,2017.98,upi,48662,5800,991434,3,237.62
63363146,16410155,2023-07-12,2023-07-12 1:50:45,2023-07-12 02:05:45,slightly delayed,4207.71,cash,89996,3833,136533,2,826.21
65827885,47577193,2023-07-27,2023-07-27 0:25:05,2023-07-27 00:20:05,on time,1132.98,cash,1108,3817,324809,3,608.0
69932727,83236183,2024-08-28,2024-08-28 16:25:09,2024-08-28 16:20:09,on time,2192.28,wallet,15976,6580,753354,3,423.56
71793937,13189939,2024-04-21,2024-04-21 0:02:39,2024-04-21 00:00:39,on time,2269.58,cash,63892,9947,94225,1,77.11
72748189,82286725,2023-06-18,2023-06-18 6:47:23,2023-06-18 07:06:23,significantly delayed,3654.1,wallet,69743,4974,36412,3,397.68
77053363,74172010,2023-05-04,2023-05-04 19:38:43,2023-05-04 19:38:43,on time,4566.21,upi,3429,2000,883013,3,989.88
79029185,39645619,2024-06-06,2024-06-06 14:05:34,2024-06-06 14:20:34,slightly delayed,1039.32,cash,72146,5208,820973,3,114.52
80296810,21677923,2024-06-05,2024-06-05 3:52:45,2024-06-05 03:51:45,on time,4283.33,cash,15362,2319,33955,2,186.08
87784691,92583164,2024-09-29,2024-09-29 1:10:06,2024-09-29 01:13:06,on time,534.55,wallet,88685,3159,70969,2,631.7
89194627,37947202,2024-03-06,2024-03-06 18:27:09,2024-03-06 18:24:09,on time,2925.55,upi,37946,9507,897083,3,972.69
99708985,91130614,2023-11-19,2023-11-19 4:46:38,2023-11-19 04:55:38,slightly delayed,2255.0,card,8566,6116,760684,2,71.6
99905061,47590944,2023-11-16,2023-11-16 20:26:23,2023-11-16 20:34:23,slightly delayed,2948.85,card,1750,442,492958,1,84.2
101613683,43377076,2023-06-29,2023-06-29 21:03:29,2023-06-29 20:58:29,on time,1314.09,card,59292,3603,784827,2,274.25
101816977,26903313,2024-02-20,2024-02-20 6:37:43,2024-02-20 06:41:43,on time,3486.1,wallet,74586,949,677169,2,261.03
102639985,40392019,2023-08-27,2023-08-27 7:12:21,2023-08-27 07:15:21,on time,3686.28,wallet,25125,4639,89084,2,598.83
103589925,65406127,2024-05-17,2024-05-17 23:42:05,2024-05-17 23:52:05,slightly delayed,3805.99,upi,83678,8251,542300,3,255.35
105578518,38615653,2024-03-03,2024-03-03 2:13:51,2024-03-03 02:27:51,slightly delayed,1034.16,cash,97558,3362,329351,3,310.87
110303417,57566548,2024-05-24,2024-05-24 2:08:07,2024-05-24 02:08:07,on time,2258.29,wallet,66500,7725,654623,3,422.14
111296281,28413467,2024-05-28,2024-05-28 15:30:09,2024-05-28 15:28:09,on time,4414.19,upi,6245,348,378230,3,166.42
112658009,35144658,2023-07-11,2023-07-11 17:55:34,2023-07-11 17:52:34,on time,3834.36,cash,32553,8111,604184,1,397.55
114306835,13251137,2024-02-06,2024-02-06 20:47:16,2024-02-06 20:52:16,on time,2885.11,wallet,60947,3692,448752,3,160.07
114851727,46875863,2024-10-04,2024-10-04 3:26:47,2024-10-04 03:25:47,on time,1944.29,wallet,8766,1875,11422,1,127.16
120178110,65294340,2024-01-21,2024-01-21 1:37:21,2024-01-21 01:47:21,slightly delayed,1508.3,wallet,73380,6099,739534,3,994.56
120996684,92455970,2023-10-02,2023-10-02 11:35:59,2023-10-02 11:45:59,slightly delayed,3139.62,card,86475,5536,690565,2,951.27
121874867,94529626,2023-03-28,2023-03-28 1:10:55,2023-03-28 01:05:55,on time,2596.92,upi,69733,7775,952124,3,127.08
125551624,14693393,2024-08-12,2024-08-12 21:44:30,2024-08-12 21:44:30,on time,4082.47,card,16319,5715,669378,2,212.14
127277515,35455991,2023-09-30,2023-09-30 8:37:09,2023-09-30 08:41:09,on time,2838.48,card,87204,3277,654297,3,13.25
131913576,48228547,2023-10-17,2023-10-17 3:10:39,2023-10-17 03:12:39,on time,2136.82,wallet,27197,3581,871592,3,870.29
135053432,10796846,2023-04-24,2023-04-24 13:50:15,2023-04-24 13:52:15,on time,3330.44,wallet,29782,5488,500739,1,359.98
137089318,6637282,2024-05-23,2024-05-23 15:53:38,2024-05-23 15:48:38,on time,2254.26,wallet,32581,4547,39154,2,946.86
139417019,75566105,2023-07-09,2023-07-09 20:18:51,2023-07-09 20:23:51,on time,561.59,upi,22566,6806,992178,1,632.43
140980199,27504517,2024-03-05,2024-03-05 14:27:06,2024-03-05 14:36:06,slightly delayed,769.7,upi,72398,4915,492958,2,84.2
143399998,46686696,2024-10-17,2024-10-17 14:13:44,2024-10-17 14:24:44,slightly delayed,481.63,upi,24612,833,187399,2,53.49
145057465,54923640,2024-11-02,2024-11-02 9:09:51,2024-11-02 09:04:51,on time,1590.17,cash,2353,3887,26060,3,342.94
147066568,44149982,2024-07-12,2024-07-12 7:58:16,2024-07-12 07:55:16,on time,1180.63,cash,86173,9742,832348,2,831.43
148408710,60565603,2024-01-01,2024-01-01 2:13:47,2024-01-01 02:17:47,on time,423.56,wallet,15102,6403,448752,2,160.07
155295996,24517523,2024-06-29,2024-06-29 3:16:57,2024-06-29 03:20:57,on time,4190.02,cash,5364,5219,365133,3,915.45
155568486,36517334,2023-12-26,2023-12-26 5:07:10,2023-12-26 05:09:10,on time,936.98,upi,59769,3309,807452,1,144.19
155669553,88779806,2023-04-06,2023-04-06 14:38:38,2023-04-06 14:36:38,on time,2239.85,upi,73940,3785,714999,1,882.51
156346853,57331847,2023-03-30,2023-03-30 9:13:22,2023-03-30 09:28:22,slightly delayed,1506.38,card,16610,5266,490602,1,549.47
159394992,35358395,2024-08-06,2024-08-06 6:59:30,2024-08-06 07:00:30,on time,611.71,card,28600,9812,473929,1,440.19
163895717,61982521,2023-11-02,2023-11-02 5:01:21,2023-11-02 04:58:21,on time,2751.59,upi,45284,5871,654623,2,422.14
168067196,11071601,2024-07-16,2024-07-16 13:30:12,2024-07-16 13:35:12,on time,1398.0,cash,42592,6357,563740,1,96.33
168180571,89910157,2023-03-16,2023-03-16 15:06:01,2023-03-16 15:16:01,slightly delayed,563.45,cash,41985,6130,136533,1,826.21
168804744,25128143,2023-10-28,2023-10-28 7:34:34,2023-10-28 07:34:34,on time,3450.59,card,16671,4909,925482,1,475.04
169590729,10019218,2024-05-23,2024-05-23 5:28:37,2024-05-23 05:24:37,on time,2086.36,cash,45869,2744,897083,1,972.69
169867835,59545278,2023-08-16,2023-08-16 22:39:20,2023-08-16 22:37:20,on time,632.43,wallet,73090,5315,927651,3,426.72
172987148,71607166,2024-11-03,2024-11-03 16:56:53,2024-11-03 17:21:53,significantly delayed,2924.71,cash,66833,4430,901144,3,340.36
173709007,43034188,2023-10-09,2023-10-09 3:27:24,2023-10-09 03:48:24,significantly delayed,2685.03,upi,80576,3627,306177,3,769.24
174306009,87457446,2024-08-09,2024-08-09 0:35:44,2024-08-09 01:02:44,significantly delayed,2424.07,upi,35598,626,832348,1,831.43
176509722,65221572,2023-10-16,2023-10-16 22:46:31,2023-10-16 22:44:31,on time,2319.65,upi,60612,6275,883013,1,989.88
177850987,51174875,2023-11-07,2023-11-07 14:25:48,2023-11-07 14:22:48,on time,1934.67,upi,61247,6015,237083,2,577.13
